rep,trt,PREA,PREB,PREC
1,1,100,100,100
1,2,30,60,70
1,3,30,100,80
1,4,100,100,100
1,5,100,100,100
1,6,100,100,100
1,7,100,100,100
1,8,100,100,70
1,9,100,100,100
1,10,60,80,70
1,11,10,10,10
1,12,60,80,60
1,13,70,70,70
1,14,80,80,60
2,11,10,10,10
2,6,100,100,100
2,3,100,100,80
2,4,100,100,100
2,13,40,80,70
2,5,100,100,100
2,2,20,20,20
2,8,100,100,100
2,7,100,100,100
2,12,40,40,20
2,10,80,100,100
2,1,100,100,100
2,14,70,50,100
2,9,100,100,100
3,2,30,60,60
3,14,50,100,80
3,1,100,100,100
3,13,40,60,60
3,10,60,80,60
3,7,90,100,100
3,4,100,100,100
3,11,10,10,10
3,9,100,100,100
3,6,100,100,100
3,5,100,100,100
3,8,100,100,100
3,12,50,60,30
3,3,90,100,90
